timestamp,open,high,low,close,volume
2024-11-01 00:00:00,27991.84,27991.84,27981.53,27983.27,16.04929
2024-11-01 00:01:00,27983.28,27983.28,27954.07,27954.07,37.46222
2024-11-01 00:02:00,27954.08,27955.45,27922.92,27929.57,25.89664
2024-11-01 00:03:00,27930.08,27943.82,27878.6,27894.39,239.2808
2024-11-01 00:04:00,27894.42,27920.0,27891.06,27919.53,55.03403
2024-11-01 00:05:00,27919.52,27943.68,27919.52,27940.37,28.57673
2024-11-01 00:06:00,27940.37,27951.8,27939.55,27944.79,29.59061
2024-11-01 00:07:00,27944.79,27961.21,27938.17,27953.37,52.96544
2024-11-01 00:08:00,27953.37,27957.41,27935.73,27950.03,33.4969
2024-11-01 00:09:00,27950.03,27963.28,27950.03,27963.24,15.55101
2024-11-01 00:10:00,27963.24,27967.26,27926.55,27931.13,39.42674
2024-11-01 00:11:00,27931.12,27937.83,27884.66,27913.9,53.02589
2024-11-01 00:12:00,27913.9,27913.91,27899.24,27909.95,37.16043
2024-11-01 00:13:00,27909.95,27940.15,27909.95,27940.0,23.41229
2024-11-01 00:14:00,27940.0,27979.1,27939.99,27974.71,62.66754
2024-11-01 00:15:00,27974.7,27999.99,27974.7,27991.25,37.88065
2024-11-01 00:16:00,27991.26,28006.22,27977.1,27986.21,23.01445
2024-11-01 00:17:00,27986.21,28004.35,27986.2,27998.25,30.91887
2024-11-01 00:18:00,27998.25,28006.76,27998.25,28001.9,27.71099
2024-11-01 00:19:00,28001.9,28012.61,28001.74,28009.86,18.77056
2024-11-01 00:20:00,28009.86,28032.19,28009.85,28029.17,31.60233
2024-11-01 00:21:00,28029.17,28032.82,28016.21,28027.92,33.76145
2024-11-01 00:22:00,28027.92,28034.85,28014.14,28029.59,25.20983
2024-11-01 00:23:00,28029.59,28036.37,28029.59,28034.98,10.08782
2024-11-01 00:24:00,28034.98,28037.81,28033.81,28037.81,15.187
2024-11-01 00:25:00,28037.8,28037.81,28022.4,28025.16,18.76018
2024-11-01 00:26:00,28025.17,28044.32,28014.1,28021.89,36.9581
2024-11-01 00:27:00,28021.88,28031.19,28021.88,28027.65,8.58847
2024-11-01 00:28:00,28027.64,28032.78,28025.81,28025.82,15.14683
2024-11-01 00:29:00,28025.82,28029.97,28024.85,28028.38,16.13066
2024-11-01 00:30:00,28028.38,28040.55,28026.41,28039.99,36.39244
2024-11-01 00:31:00,28040.0,28052.94,28039.99,28049.28,15.54155
2024-11-01 00:32:00,28049.28,28055.92,28049.28,28055.91,25.28786
2024-11-01 00:33:00,28055.91,28076.92,28055.91,28073.91,50.49844
2024-11-01 00:34:00,28073.91,28078.32,28073.91,28078.31,15.72864
2024-11-01 00:35:00,28078.32,28079.48,28054.19,28054.19,27.72912
2024-11-01 00:36:00,28054.19,28076.17,28054.19,28073.99,14.05289
2024-11-01 00:37:00,28074.0,28074.0,28072.36,28073.38,17.08922
2024-11-01 00:38:00,28073.38,28073.38,28059.28,28062.79,16.25843
2024-11-01 00:39:00,28062.79,28090.0,28062.78,28064.46,24.16922
2024-11-01 00:40:00,28064.45,28072.77,28054.86,28072.77,21.36264
2024-11-01 00:41:00,28072.77,28079.59,28069.87,28073.38,22.76208
2024-11-01 00:42:00,28073.38,28089.88,28070.51,28084.01,25.5044
2024-11-01 00:43:00,28084.01,28095.71,28082.01,28091.15,23.88068
2024-11-01 00:44:00,28091.15,28093.57,28090.87,28093.57,5.84948
2024-11-01 00:45:00,28093.56,28093.57,28075.0,28082.64,23.26021
2024-11-01 00:46:00,28082.64,28082.87,28069.53,28069.53,13.07699
